@relation .\access_log_Aug95
@attribute user string
@attribute duration real
@attribute requests_count integer
@attribute avg_request_duration real
@attribute / {True, False}
@attribute /ksc.html {True, False}
@attribute /shuttle/missions/missions.html {True, False}
@attribute /shuttle/countdown/ {True, False}
@attribute /shuttle/missions/sts-70/mission-sts-70.html {True, False}
@attribute /images/ {True, False}
@attribute /history/apollo/apollo-13/apollo-13.html {True, False}
@attribute /shuttle/countdown/liftoff.html {True, False}
@attribute /history/apollo/apollo.html {True, False}
@attribute /history/history.html {True, False}
@attribute /shuttle/missions/sts-69/mission-sts-69.html {True, False}
@attribute /software/winvn/winvn.html {True, False}
@attribute /shuttle/countdown/countdown.html {True, False}
@attribute /facilities/lc39a.html {True, False}
@attribute /htbin/cdt_main.pl {True, False}
@attribute /shuttle/missions/sts-70/images/images.html {True, False}
@attribute /shuttle/technology/sts-newsref/stsref-toc.html {True, False}
@attribute /shuttle/resources/orbiters/discovery.html {True, False}
@attribute /shuttle/missions/sts-71/movies/movies.html {True, False}
@attribute /shuttle/missions/sts-71/mission-sts-71.html {True, False}
@attribute /shuttle/missions/sts-71/images/images.html {True, False}
@attribute /history/apollo/apollo-11/apollo-11.html {True, False}
@attribute /shuttle/missions/sts-70/movies/movies.html {True, False}
@attribute /shuttle/missions/sts-68/mission-sts-68.html {True, False}
@attribute /history/apollo/apollo-13/apollo-13-info.html {True, False}
@attribute /shuttle/countdown/lps/fr.html {True, False}
@attribute /shuttle/resources/orbiters/endeavour.html {True, False}
@attribute /shuttle/technology/sts-newsref/sts_asm.html {True, False}
@attribute /facts/about_ksc.html {True, False}
@attribute /htbin/cdt_clock.pl {True, False}
@attribute /history/apollo/apollo-13/images/ {True, False}
@attribute /facilities/mlp.html {True, False}
@attribute /history/apollo/apollo-12/ {True, False}
@attribute /history/apollo/apollo-13/movies/ {True, False}
@attribute /shuttle/missions/sts-66/mission-sts-66.html {True, False}
@attribute /shuttle/missions/sts-72/mission-sts-72.html {True, False}
@attribute /shuttle/missions/sts-70/movies/woodpecker.mpg {True, False}
@attribute /shuttle/resources/orbiters/columbia.html {True, False}
@data
'in24.inetnebr.com',821.0,16,51.3125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
'in24.inetnebr.com',938.0,24,39.083333333333336,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
'133.43.96.45',1245.0,9,138.33333333333334,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False
'uplherc.upl.com',1112.0,18,61.77777777777778,True,True,True,True,True,False,True,False,True,False,True,False,False,True,False,False,True,True,False,True,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,True,False,False
'www-c3.proxy.aol.com',366.0,3,122.0,True,True,True,True,True,True,True,False,True,False,True,False,False,True,True,True,True,True,False,True,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,True,False,False
'www-c3.proxy.aol.com',208.0,4,52.0,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,True,False,False
'www-d3.proxy.aol.com',730.0,6,121.66666666666667,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,True,False,False
'www-d3.proxy.aol.com',78.0,3,26.0,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,True,False,False
'piweba4y.prodigy.com',201.0,3,67.0,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,True,False,False
'endeavor.fujitsu.co.jp',0.0,1,0.0,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,False,True,False,True,True,True,False,False,False,True,False,False,True,True,False,False
'ai.asu.edu',10.0,3,3.3333333333333335,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,False
'ai.asu.edu',12.0,3,4.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,False
'ai.asu.edu',9.0,3,3.0,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,False
'piweba3y.prodigy.com',233.0,3,77.66666666666667,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,False
