@relation .\access_log_Aug95
@attribute duration real
@attribute requests_count integer
@attribute avg_request_duration real
@data
821.0,16,54.733333333333334
938.0,24,40.78260869565217
1245.0,9,155.625
1112.0,18,65.41176470588235
366.0,3,183.0
208.0,4,69.33333333333333
50.0,2,50.0
131.0,3,65.5
730.0,6,146.0
78.0,3,39.0
728.0,7,121.33333333333333
201.0,3,100.5
298.0,2,298.0
19.0,2,19.0
304.0,3,152.0
27.0,2,27.0
364.0,6,72.8
1196.0,9,149.5
39.0,2,39.0
45.0,2,45.0
10.0,3,5.0
12.0,3,6.0
9.0,3,4.5
20.0,3,10.0
997.0,6,199.4
143.0,3,71.5
1979.0,31,65.96666666666667
2956.0,32,95.35483870967742
1007.0,7,167.83333333333334
233.0,3,116.5
772.0,5,193.0
56.0,2,56.0
80.0,2,80.0
491.0,4,163.66666666666666
298.0,2,298.0
1148.0,7,191.33333333333334
335.0,5,83.75
2148.0,12,195.27272727272728
613.0,3,306.5
138.0,2,138.0
226.0,6,45.2
65.0,4,21.666666666666668
199.0,7,33.166666666666664
232.0,3,116.0
253.0,3,126.5
27.0,2,27.0
834.0,7,139.0
470.0,2,470.0
162.0,2,162.0
506.0,8,72.28571428571429
239.0,3,119.5
98.0,2,98.0
258.0,5,64.5
29.0,3,14.5
7.0,2,7.0
225.0,4,75.0
197.0,3,98.5
954.0,8,136.28571428571428
30.0,2,30.0
473.0,2,473.0
826.0,8,118.0
331.0,8,47.285714285714285
129.0,2,129.0
173.0,3,86.5
184.0,17,11.5
1327.0,23,60.31818181818182
87.0,3,43.5
568.0,3,284.0
193.0,4,64.33333333333333
668.0,8,95.42857142857143
945.0,9,118.125
332.0,9,41.5
27.0,2,27.0
206.0,3,103.0
98.0,3,49.0
59.0,2,59.0
190.0,2,190.0
101.0,3,50.5
49.0,2,49.0
72.0,2,72.0
203.0,4,67.66666666666667
106.0,2,106.0
76.0,4,25.333333333333332
93.0,2,93.0
1568.0,6,313.6
94.0,3,47.0
65.0,3,32.5
211.0,2,211.0
568.0,6,113.6
613.0,3,306.5
13.0,3,6.5
87.0,4,29.0
9.0,2,9.0
